City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,meulaboh,4.1363,96.1285,302.42,64,70,1.56,ID,1675832646
329,pampa,35.5362,-100.9599,277.68,52,97,3.6,US,1675832647
330,copiapo,-27.3667,-70.3333,289.98,63,47,0.62,CL,1675832451
331,arman,59.7,150.1667,251.49,82,30,2.92,RU,1675832573
332,boa vista,2.8197,-60.6733,299.14,73,75,6.17,BR,1675832649
333,matara,5.9485,80.5353,302.32,65,85,3.32,LK,1675832649
334,gao,16.6362,1.637,295.46,15,76,5.43,ML,1675832493
335,norsup,-16.0667,167.3833,300.85,74,100,1.91,VU,1675832650
336,shieli,44.1667,66.75,275.44,71,100,2.52,KZ,1675832650
337,ritchie,-29.038,24.6028,290.71,79,100,4.62,ZA,1675832652
338,namibe,-15.1961,12.1522,293.71,78,96,2.6,AO,1675832652
339,linkou,45.3,130.2833,266.05,66,47,3.0,CN,1675832652
340,arica,-18.475,-70.3042,295.28,78,0,1.54,CL,1675832653
341,grafton,42.207,-71.6856,274.31,87,100,1.79,US,1675832653
342,klaksvik,62.2266,-6.589,280.65,85,100,25.6,FO,1675832654
343,peris,44.6847,26.0139,270.22,74,75,6.17,RO,1675832655
344,geraldton,-28.7667,114.6,305.38,37,0,7.72,AU,1675832569
345,poso,-1.3959,120.7524,301.95,68,99,2.49,ID,1675832656
346,matagami,49.7502,-77.6328,261.21,79,100,5.66,CA,1675832609
347,ranong,9.9658,98.6348,306.11,51,10,1.12,TH,1675832657
348,saint-francois,46.4154,3.9054,266.84,93,2,0.0,FR,1675832657
349,barra patuca,15.8,-84.2833,296.95,86,13,4.29,HN,1675832658
350,wanaka,-44.7,169.15,292.65,28,80,3.13,NZ,1675832554
351,okha,53.5739,142.9478,249.69,81,100,5.19,RU,1675832659
352,nemuro,43.3236,145.575,269.95,58,23,1.32,JP,1675832660
353,ihosy,-22.4,46.1167,293.2,88,100,2.84,MG,1675832661
354,jumla,29.2747,82.1838,284.18,16,0,2.18,NP,1675832661
355,yerbogachen,61.2767,108.0108,250.52,96,100,0.97,RU,1675832662
356,pangnirtung,66.1451,-65.7125,239.47,82,5,2.59,CA,1675832663
357,katobu,-4.9408,122.5276,304.86,53,82,2.73,ID,1675832663
358,xichang,27.8964,102.2634,289.34,37,0,1.8,CN,1675832664
359,yar-sale,66.8333,70.8333,259.73,85,100,10.8,RU,1675832664
360,taywarah,33.35,64.4167,272.19,85,72,1.85,AF,1675832665
361,maarianhamina,60.0973,19.9348,276.07,93,100,3.6,AX,1675832552
